,1,2,respons,gestion,equip,ingeni,inform,industrial,offic,excel,diseñ,analisis
10,Practicante legal,"[['estam', 'en', 'busqued', 'deun', 'practic', 'par', 'el', 'are', 'legal', 'principal', 'funcion', 'apoy', 'a', 'tramit', 'ante', 'municipal', 'registr', 'public', 'notari', 'indecopi', 'y', 'otras', 'entidad', 'redaccion', 'de', 'document', 'yescrit', 'simpl', 'manten', 'el', 'archiv', 'del', 'are', 'legal', 'en', 'orden', 'realiz', 'gestion', 'legal', 'dentr', 'y', 'fuer', 'de', 'la', 'empres', 'revision', 'de', 'norm', 'necesari', 'par', 'el', 'rubr', 'de', 'la', 'empres', 'requisit', 'nivel', 'de', 'estudi', 'universitari', 'en', 'la', 'carrer', 'de', 'derech', 'conoc', 'basic', 'en', 'microsotf', 'offic', 'nivel', 'intermnedi', 'de', 'ingles', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
11,Practicante profesional,"[['funcion', 'metodiz', 'estad', 'financier', 'realiz', 'preevalu', 'economicofinanc', 'de', 'los', 'client', 'en', 'carter', 'interpret', 'y', 'analiz', 'los', 'estad', 'financier', 'analiz', 'los', 'rati', 'financier', 'requisit', 'sol', 'reci', 'egres', 'de', 'la', 'carrer', 'de', 'econom', 'finanz', 'o', 'afin', 'no', 'estudi', 'excel', 'a', 'nivel', 'intermedi', 'benefici', 'conveni', 'de', 'practic', 'profesional', 'con', 'tod', 'los', 'benefici', 'por', 'ley', 'line', 'de', 'carrer', 'horari', 'de', 'trabaj', 'de', 'l', 'v', 'hrs', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
12,Practicante visual,"[['empres', 'peruan', 'lid', 'en', 'el', 'rubr', 'retail', 'requier', 'incorpor', 'a', 'su', 'equip', 'a', 'los', 'mejor', 'talent', 'par', 'cubr', 'la', 'posicion', 'de', 'practic', 'visual', 'requisit', 'egres', 'de', 'arquitectur', 'o', 'diseñ', 'de', 'interior', 'conoc', 'de', 'diseñ', 'y', 'ensanblaj', 'de', 'muebl', 'manej', 'de', 'autoc', 'd', 'benefici', 'pertenec', 'a', 'una', 'sol', 'organiz', 'con', 'mas', 'de', 'años', 'en', 'el', 'merc', 'ingres', 'a', 'planill', 'desd', 'el', 'prim', 'dia', 'de', 'trabaj', 'con', 'tod', 'los', 'benefici', 'social', 'buen', 'ambient', 'labor', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
13,Practicante contabilidad,"[['empres', 'dedic', 'al', 'rubr', 'de', 'la', 'construccion', 'y', 'contabil', 'requier', 'de', 'una', 'person', 'egres', 'o', 'que', 'este', 'curs', 'el', 'ultim', 'año', 'de', 'contabil', 'univers', 'o', 'institut', 'que', 'dese', 'hac', 'practic', 'profesional', 'o', 'pre', 'profesional', 'sueld', 'sol', 'al', 'mes', 'sol', 'par', 'pasaj', 'horari', 'a', 'pm', 'medi', 'tiempofuncion', 'llev', 'agend', 'profesional', 'asist', 'contabl', 'declar', 'a', 'la', 'sunat', 'etcel', 'trabaj', 'es', 'en', 'oficin', 'buen', 'ambient', 'laboral', 'edad', 'par', 'postul', 'a', 'años', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
14,Practicante comercial,"[['supermerc', 'peruan', 'empres', 'que', 'foment', 'y', 'respet', 'en', 'sus', 'proces', 'de', 'reclut', 'y', 'seleccion', 'la', 'iguald', 'de', 'gener', 'la', 'inclusion', 'y', 'la', 'divers', 'pertenecient', 'al', 'grup', 'intercorp', 'lid', 'en', 'el', 'rubr', 'retail', 'y', 'terc', 'puest', 'en', 'el', 'great', 'plac', 'to', 'work', 'se', 'encuentr', 'en', 'busqued', 'del', 'mejor', 'talent', 'profesional', 'par', 'asum', 'el', 'ret', 'de', 'practic', 'comercial', 'funcion', 'principal', 'apoy', 'en', 'la', 'administr', 'de', 'las', 'herramient', 'de', 'gestion', 'asi', 'com', 'el', 'manten', 'de', 'la', 'dat', 'relev', 'par', 'la', 'gestion', 'de', 'la', 'categor', 'brind', 'soport', 'en', 'la', 'negoci', 'con', 'proveedor', 'realiz', 'el', 'analisis', 'de', 'inform', 'compar', 'entre', 'product', 'vent', 'y', 'comport', 'del', 'merc', 'elabor', 'los', 'format', 'de', 'cambi', 'de', 'preci', 'promocion', 'entre', 'otros', 'realiz', 'otras', 'funcion', 'asign', 'por', 'el', 'jef', 'inmediat', 'requisit', 'estudi', 'de', 'administr', 'o', 'ingeni', 'industrial', 'desd', 'el', 'mov', 'semestr', 'o', 'no', 'semestr', 'año', 'de', 'egres', 'sea', 'el', 'experient', 'minim', 'de', 'mes', 'com', 'practic', 'necesari', 'manej', 'de', 'excel', 'a', 'nivel', 'intermedioavanz', 'manej', 'de', 'ingles', 'a', 'nivel', 'basic', 'benefici', 'subvencion', 'econom', 'de', 'acuerd', 'a', 'ley', 'segur', 'medic', 'de', 'practic', 'incorpor', 'al', 'segund', 'empleador', 'mas', 'grand', 'del', 'pais', 'mediant', 'contrat', 'indetermin', 'benefici', 'corpor', 'especial', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
15,Practicante compras,"[['import', 'empres', 'del', 'rubr', 'de', 'aliment', 'con', 'un', 'excelent', 'clim', 'laboral', 'se', 'encuentr', 'en', 'busqued', 'de', 'un', 'practic', 'egres', 'de', 'la', 'carrer', 'de', 'ing', 'industrial', 'administr', 'o', 'carrer', 'a', 'fin', 'perfil', 'egres', 'a', 'yo', 'bachill', 'de', 'la', 'carrer', 'de', 'administr', 'ingen', 'industrial', 'conoc', 'a', 'nivel', 'intermedi', 'de', 'excel', 'actividadescontrol', 'y', 'seguimient', 'a', 'los', 'pag', 'de', 'factur', 'de', 'nuestr', 'proveedoresapoy', 'en', 'el', 'ingres', 'de', 'facturasapoy', 'en', 'labor', 'administrativasgener', 'report', 'de', 'requer', 'pendient', 'de', 'atencion', 'beneficiossubvencion', 'econom', 'mensual', 'ssegur', 'medic', 'particul', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
16,Practicante comercial,"[['som', 'la', 'compañ', 'de', 'segur', 'del', 'grup', 'intercorp', 'lid', 'en', 'rent', 'vitalici', 'nuestr', 'principal', 'line', 'de', 'negoci', 'y', 'con', 'un', 'crecimient', 'sosten', 'en', 'nuestr', 'otras', 'lin', 'nuestr', 'clar', 'enfoqu', 'y', 'sol', 'estrategi', 'de', 'inversion', 'nos', 'han', 'llev', 'a', 'obten', 'consistent', 'la', 'rentabil', 'mas', 'alta', 'del', 'sistem', 'asegur', 'peruan', 'ademas', 'lo', 'mas', 'import', 'par', 'nosotr', 'son', 'nuestr', 'colabor', 'por', 'lo', 'cual', 'desarroll', 'activ', 'inici', 'que', 'promuev', 'el', 'buen', 'clim', 'laboral', 'com', 'consecuent', 'de', 'ello', 'el', 'ultim', 'año', 'hem', 'sid', 'calific', 'com', 'una', 'de', 'las', 'mejor', 'compañ', 'great', 'plac', 'to', 'work', 'a', 'nivel', 'de', 'peru', 'y', 'latinoamer', 'nos', 'encontr', 'en', 'busqued', 'de', 'unx', 'practic', 'comercial', 'qui', 'cumpl', 'con', 'el', 'siguient', 'perfil', 'requisitosestudi', 'de', 'la', 'carrer', 'de', 'administr', 'ingeni', 'industrial', 'o', 'afinesd', 'preferent', 'con', 'seis', 'mes', 'de', 'experient', 'en', 'practic', 'preprofesional', 'no', 'indispens', 'con', 'manej', 'de', 'herramient', 'offic', 'nivel', 'intermedi', 'y', 'excel', 'avanz', 'funcion', 'gener', 'report', 'de', 'produccion', 'del', 'canalcontrol', 'y', 'revision', 'de', 'rati', 'de', 'renovacionestadist', 'del', 'canalsegu', 'a', 'tem', 'oper', 'y', 'legal', 'propi', 'del', 'canalsegu', 'a', 'canal', 'problem', 'en', 'las', 'vent', 'recl', 'etcactualiz', 'de', 'manual', 'y', 'politicasact', 'de', 'integracioncontrol', 'de', 'vacacionesasign', 'y', 'registr', 'de', 'factur', 'beneficioscapacit', 'constanteexcelent', 'clim', 'laboral', 'par', 'trabajardivers', 'activ', 'de', 'salud', 'y', 'bienest', 'a', 'favor', 'del', 'colabor', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
17,Practicante comercial,"[['talm', 'empres', 'lid', 'en', 'servici', 'aeroportuari', 'con', 'presenci', 'en', 'peru', 'mexic', 'ecuador', 'y', 'colombi', 'se', 'encuentr', 'en', 'la', 'busqued', 'de', 'practic', 'profesional', 'de', 'comercialfuncionesapoy', 'en', 'el', 'control', 'de', 'pag', 'de', 'servici', 'charters', 'y', 'nuev', 'servici', 'apoy', 'en', 'la', 'elabor', 'de', 'estadist', 'del', 'are', 'comercial', 'de', 'aeropuert', 'apoy', 'en', 'el', 'control', 'de', 'vencimient', 'y', 'oblig', 'de', 'los', 'contrat', 'carg', 'los', 'contrat', 'firm', 'en', 'la', 'plataform', 'se', 'ofrecesueld', 'de', 's', 'por', 'conveni', 'de', 'practicascobertur', 'de', 'aliment', 'al', 'segur', 'folapertenec', 'a', 'un', 'gran', 'equip', 'de', 'trabajobu', 'clim', 'laboral', 'requisit', 'egres', 'de', 'la', 'carrer', 'de', 'ing', 'industrial', 'finanz', 'administr', 'o', 'carrer', 'afinesingles', 'intermediooffic', 'nivel', 'avanzadocab', 'inform', 'que', 'el', 'postul', 'afirm', 'su', 'consent', 'y', 'autoriz', 'del', 'uso', 'de', 'sus', 'dat', 'personal', 'expuest', 'en', 'su', 'cv', 'dentr', 'del', 'marc', 'de', 'la', 'ley', 'de', 'proteccion', 'de', 'dat', 'personal', 'n', 'par', 'fin', 'unic', 'de', 'postul', 'con', 'la', 'organiz', 'este', 'registr', 'se', 'deriv', 'al', 'are', 'de', 'rrhh', 'y', 'se', 'conserv', 'durant', 'un', 'plaz', 'maxim', 'de', 'mes', 'posterior', 'al', 'proces', 'de', 'seleccion', 'de', 'acuerd', 'a', 'la', 'ley', 'n', 'reglament', 'n', 'mimp', 'y', 'norm', 'complementari', 'se', 'recib', 'tambien', 'postul', 'de', 'person', 'con', 'discapac', 'debid', 'acredit', 'y', 'certific', 'a', 'fin', 'de', 'ser', 'evalu', 'segun', 'la', 'descripcion', 'del', 'puest', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
18,Practicante actuarial,"[['som', 'la', 'posit', 'vid', 'una', 'empres', 'en', 'constant', 'desarroll', 'e', 'innov', 'y', 'la', 'mejor', 'opcion', 'par', 'satisfac', 'las', 'neces', 'de', 'proteccion', 'de', 'nuestr', 'clientest', 'invit', 'a', 'form', 'part', 'de', 'nuestr', 'equip', 'con', 'la', 'posicion', 'de', 'practic', 'actuarial', 'principal', 'funcionesactualiz', 'de', 'indic', 'de', 'gestion', 'del', 'areaapoy', 'en', 'la', 'revision', 'y', 'analisis', 'de', 'bas', 'de', 'datosapoy', 'en', 'la', 'ejecu', 'de', 'tar', 'que', 'present', 'ciert', 'nivel', 'de', 'recurrenciaapoy', 'en', 'desarroll', 'yo', 'ajust', 'de', 'model', 'actuarialesparticip', 'en', 'la', 'revision', 'de', 'calid', 'de', 'dat', 'utiliz', 'par', 'el', 'calcul', 'de', 'reserv', 'tecnicasapoy', 'en', 'la', 'prepar', 'de', 'inform', 'requer', 'por', 'la', 'sbs', 'auditor', 'extern', 'y', 'empres', 'clasif', 'de', 'riesg', 'requisitosestudi', 'universitari', 'de', 'mo', 'a', 'mo', 'cicl', 'en', 'ingeni', 'econom', 'ingeni', 'industrial', 'matemat', 'estadist', 'o', 'economiamanej', 'de', 'excel', 'a', 'nivel', 'intermedi', 'competenciascapac', 'de', 'analisisorient', 'al', 'clientecomunicaciontrabaj', 'en', 'equip', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
19,Practicante comercial,"[['tupemes', 'empres', 'fabric', 'de', 'product', 'y', 'solucion', 'de', 'acer', 'se', 'encuentr', 'en', 'la', 'busqued', 'del', 'mejor', 'talent', 'par', 'ocup', 'la', 'posicion', 'de', 'practic', 'comercial', 'funcionesregistr', 'de', 'inform', 'de', 'seguimient', 'de', 'ventasanalisis', 'de', 'dat', 'relacion', 'a', 'los', 'product', 'del', 'areaapoy', 'en', 'la', 'elabor', 'de', 'proyeccion', 'de', 'ventasmanej', 'de', 'bas', 'de', 'datosapoy', 'en', 'la', 'elabor', 'de', 'propuest', 'de', 'mejoraapoy', 'en', 'la', 'present', 'de', 'report', 'a', 'gerenci', 'comercialcoordin', 'con', 'demas', 'are', 'involucr', 'en', 'el', 'proces', 'comercial', 'requisitoscarrer', 'de', 'ingeni', 'industrial', 'administr', 'de', 'empres', 'ing', 'empresarial', 'yo', 'afinesmanej', 'de', 'excel', 'y', 'pow', 'pointconoc', 'de', 'proces', 'de', 'supply', 'chain', 'y', 'planeamientoexperient', 'de', 'mes', 'en', 'posicion', 'similaresdes', 'en', 'labor', 'de', 'gestion', 'administr', 'contact', 'con', 'fuerz', 'de', 'vent', 'o', 'funcion', 'similaresdisponibil', 'par', 'labor', 'en', 'lurin', 'beneficiossubvencion', 'econom', 'mensualsegur', 'folabus', 'de', 'acercamientoaliment', 'subvencion', 'al', 'el', 'conten', 'de', 'este', 'avis', 'es', 'de', 'propied', 'del', 'anunci', 'los', 'requisit', 'de', 'la', 'posicion', 'son', 'defin', 'y', 'administr', 'por', 'el', 'anunci', 'sin', 'que', 'bumer', 'sea', 'respons', 'por', 'ello']]",0,0,0,0,0,0,0,0,0,0
