,practica,responsabilidad,gestion,equipo,ingenieria,informacion,industrial,office,excel,diseno,analisis
555,medicina,1,1,0,0,0,0,0,0,0,0
556,marketing,1,0,0,0,0,0,0,1,1,0
557,sistemas,1,0,1,1,1,0,0,1,0,0
558,ingenieria,1,1,0,1,1,1,0,0,0,0
559,psicologia,1,1,0,1,1,1,1,0,0,0
560,mantenimiento,1,0,0,0,0,1,0,0,0,0
561,mantenimiento,1,0,0,0,0,1,0,0,0,0
562,mantenimiento,1,0,0,0,0,1,0,0,0,0
563,administracion,1,1,0,0,1,1,0,1,0,0
564,psicologia,1,1,1,0,0,1,1,0,0,0
565,administracion,1,1,0,1,1,0,1,1,1,0
566,administracion,1,1,0,1,0,1,0,1,0,0
567,administracion,1,0,0,0,1,0,1,1,0,0
568,administracion,1,1,0,1,0,1,0,1,0,0
569,diseno,1,0,0,0,0,0,0,0,1,0
570,administracion,1,0,0,1,0,1,0,1,0,0
571,administracion,1,0,0,1,0,1,0,1,0,0
572,contabilidad,1,0,1,0,0,0,0,1,0,0
573,psicologia,1,1,0,1,0,1,0,1,0,0
574,administracion,1,1,0,0,1,0,1,0,0,0
575,contabilidad,1,0,1,0,0,0,0,1,0,1
576,derecho,1,0,0,0,0,0,0,0,0,0
578,administracion,1,0,0,0,1,0,0,1,0,1
579,psicologia,1,0,0,1,0,0,0,1,0,0
580,ingenieria,1,0,1,1,1,1,1,0,0,0
581,diseno,1,0,0,0,0,0,0,0,1,0
583,psicologia,1,1,0,0,0,0,0,1,0,0
584,ingenieria,1,0,0,0,0,0,0,0,0,0
585,ingenieria,1,1,0,1,0,1,0,1,0,0
586,mantenimiento,1,0,0,0,0,1,0,0,0,0
587,ingenieria,1,0,0,0,0,1,0,0,0,0
588,ingenieria,1,0,0,1,0,0,1,0,0,1
589,psicologia,1,0,0,0,0,0,0,1,0,0
590,marketing,1,0,0,0,0,0,1,0,1,0
591,finanzas,1,0,1,1,1,1,0,1,0,1
592,mantenimiento,1,1,0,1,0,1,0,1,0,0
594,finanzas,1,0,0,1,0,1,0,1,0,0
595,ingenieria,1,1,0,1,0,1,0,1,0,0
596,ventas,1,0,1,0,0,1,0,0,0,0
597,administracion,1,1,0,0,0,0,0,1,0,0
598,psicologia,1,1,0,0,0,0,0,1,0,0
599,contabilidad,1,0,0,0,0,0,0,1,0,0
600,administracion,1,1,1,0,1,0,0,0,0,1
601,comercial,1,1,1,1,1,0,0,1,0,0
602,psicologia,1,1,1,0,1,0,1,0,0,0
603,marketing,1,0,1,0,0,0,0,1,0,0
604,psicologia,1,0,0,0,0,0,1,0,0,0
605,administracion,1,1,0,0,0,0,1,0,0,0
606,psicologia,1,1,0,0,1,0,0,0,0,0
607,ingenieria,1,1,0,1,1,0,0,1,0,0
608,ingenieria,1,1,1,1,0,1,1,1,0,0
610,ingenieria,1,0,0,1,0,1,0,1,0,0
611,ingenieria,1,0,0,1,0,1,0,1,0,0
612,ingenieria,1,0,0,1,0,1,0,1,0,0
613,diseno,1,0,0,0,0,0,0,0,1,0
614,administracion,1,1,0,1,1,1,1,1,0,0
615,administracion,1,1,1,0,0,1,1,0,0,0
616,sistemas,1,0,0,1,0,1,0,1,0,0
617,sistemas,1,1,1,1,1,1,0,1,0,0
618,ingenieria,1,0,0,1,1,0,1,0,0,0
619,psicologia,1,0,0,1,0,1,1,0,0,0
620,administracion,1,1,1,0,1,0,0,1,0,1
621,administracion,1,1,1,0,1,0,0,1,0,1
622,finanzas,1,1,1,0,1,0,0,1,0,1
623,finanzas,1,1,1,0,1,0,0,1,0,1
624,ingenieria,1,1,0,1,0,1,0,1,0,0
625,ingenieria,1,1,0,1,0,1,0,0,0,0
626,marketing,1,1,0,0,1,0,0,0,1,0
627,psicologia,1,0,0,0,0,0,0,0,0,0
628,ingenieria,1,0,0,0,1,1,0,1,0,0
630,mantenimiento,1,0,1,1,0,1,0,1,0,0
632,contabilidad,1,1,1,1,0,0,1,1,0,0
633,ingenieria,1,0,0,0,0,1,0,1,0,0
634,ingenieria,1,0,0,0,1,1,0,1,0,0
635,ingenieria,1,1,0,0,1,0,0,1,0,0
636,sistemas,1,0,1,1,1,1,1,1,0,1
637,sistemas,1,0,0,1,0,0,0,0,0,1
638,administracion,1,1,0,0,1,0,1,0,1,0
639,ingenieria,1,1,0,1,1,0,1,0,0,0
640,marketing,1,0,0,0,1,0,0,0,0,0
641,psicologia,1,1,0,0,1,0,0,0,0,0
643,ingenieria,1,0,1,0,0,0,0,1,0,1
644,marketing,1,0,1,0,0,0,0,0,0,0
645,comercial,1,1,0,1,0,1,0,1,0,0
646,finanzas,1,0,1,0,1,0,0,1,0,0
647,ingenieria,1,0,0,1,1,1,1,0,1,0
648,administracion,1,1,1,0,0,1,0,1,1,0
649,contabilidad,1,0,0,0,0,1,0,1,0,0
650,marketing,1,0,0,0,0,0,0,1,0,0
651,ingenieria,1,0,0,0,0,0,0,0,1,0
652,sistemas,1,0,0,0,0,0,1,0,0,0
653,marketing,1,0,0,0,0,0,0,1,0,0
654,marketing,1,1,0,1,0,1,0,1,0,0
655,psicologia,1,1,0,1,1,1,0,1,0,1
656,psicologia,1,0,1,0,0,0,1,0,0,0
657,contabilidad,1,1,1,0,1,0,1,0,1,0
658,ingenieria,1,0,0,1,1,1,1,0,0,0
659,marketing,1,0,0,0,0,0,0,1,0,0
660,psicologia,1,0,0,1,0,1,1,0,0,0
661,psicologia,1,0,1,1,1,1,0,1,0,0
662,contabilidad,1,0,1,1,1,1,0,1,0,0
663,ingenieria,1,1,1,0,0,1,1,1,0,0
665,psicologia,1,0,0,1,1,1,0,1,0,0
666,psicologia,1,0,0,1,0,1,0,1,0,0
667,comercial,1,0,1,0,0,0,1,0,0,0
668,ingenieria,1,0,0,1,1,1,0,1,0,0
673,administracion,1,1,1,0,0,0,0,0,0,0
674,contabilidad,1,1,0,1,0,1,0,1,0,1
675,administracion,1,0,1,1,0,0,1,0,0,0
676,diseno,1,0,1,0,0,0,0,0,1,0
677,psicologia,1,0,1,0,1,0,0,1,0,0
678,psicologia,1,1,0,1,0,1,0,1,0,0
679,administracion,1,1,1,0,1,1,1,0,0,0
680,psicologia,1,1,0,1,1,1,0,1,0,0
681,mantenimiento,1,0,0,1,0,1,0,0,0,0
682,ingenieria,1,0,0,0,0,0,0,0,0,0
683,finanzas,1,1,0,0,0,0,0,1,0,0
684,psicologia,1,1,0,0,0,0,0,0,0,0
685,administracion,1,1,0,0,1,1,0,1,0,0
686,mantenimiento,1,0,1,1,0,0,1,0,0,0
687,sistemas,1,1,1,1,1,0,0,0,0,0
688,contabilidad,1,0,1,1,1,1,0,1,0,1
689,ingenieria,1,1,1,1,1,1,0,1,0,0
690,psicologia,1,1,0,1,0,1,0,1,0,0
691,administracion,1,1,1,0,0,0,1,0,0,0
692,comunicaciones,1,1,1,0,0,0,0,1,0,0
693,administracion,1,0,1,1,1,1,1,1,0,0
697,sistemas,1,0,1,1,1,0,0,0,1,1
698,comunicaciones,1,0,0,0,0,0,1,1,1,0
699,sistemas,1,0,1,1,0,0,1,0,0,1
700,marketing,1,0,0,1,1,1,0,0,1,0
701,ingenieria,1,0,0,0,0,1,1,0,0,0
702,psicologia,1,0,1,0,0,0,0,1,0,0
703,derecho,1,0,1,0,0,0,0,0,0,0
704,contabilidad,1,1,0,0,0,0,0,0,0,0
705,administracion,1,1,0,1,0,1,0,1,0,0
706,administracion,1,0,0,1,0,1,1,0,0,0
707,ingenieria,1,0,0,1,1,1,0,1,0,1
709,psicologia,1,1,0,1,1,1,1,0,0,0
710,psicologia,1,1,1,0,1,0,0,1,0,0
711,sistemas,1,1,0,1,1,0,1,0,1,1
712,sistemas,1,1,0,0,1,1,0,0,0,0
713,contabilidad,1,1,0,0,0,1,0,0,0,0
714,ingenieria,1,1,0,0,0,1,0,0,0,0
715,contabilidad,1,1,0,0,0,0,0,0,0,0
716,ingenieria,1,0,0,1,0,0,1,0,0,0
717,contabilidad,1,0,0,1,1,1,1,0,0,1
718,ingenieria,1,1,1,1,0,1,0,0,0,0
719,ingenieria,1,1,1,1,0,1,0,0,0,0
720,ingenieria,1,1,1,1,0,1,0,0,0,0
721,psicologia,1,1,1,0,0,0,0,0,0,0
722,finanzas,1,1,0,0,0,0,1,0,0,1
723,ingenieria,1,1,0,1,0,0,1,0,0,0
724,finanzas,1,0,0,1,1,1,0,1,0,0
725,sistemas,1,1,1,1,1,1,0,1,0,0
727,psicologia,1,0,0,1,0,1,1,0,0,0
728,psicologia,1,0,0,0,0,1,0,1,0,0
729,psicologia,1,0,0,0,0,0,0,1,0,0
730,psicologia,1,0,0,0,0,0,0,1,0,0
731,sistemas,1,0,0,0,1,0,0,0,0,0
732,administracion,1,1,0,1,0,1,0,1,0,0
733,derecho,1,0,0,0,0,0,0,0,0,0
736,ingenieria,1,1,0,1,1,1,0,1,0,1
737,diseno,1,0,1,0,0,0,0,0,1,0
738,ingenieria,1,0,0,1,0,0,0,1,0,0
739,derecho,1,0,0,0,0,0,0,0,0,0
740,derecho,1,1,0,1,1,1,0,1,0,0
741,psicologia,1,1,1,0,0,1,1,1,0,0
742,psicologia,1,1,1,0,0,0,1,1,0,0
743,administracion,1,1,0,0,1,0,0,0,0,0
744,ingenieria,1,1,0,0,0,0,0,0,0,0
745,psicologia,1,0,0,1,1,1,1,0,0,1
746,psicologia,1,0,0,1,1,1,1,0,0,1
747,psicologia,1,0,0,1,1,1,1,0,0,1
748,sistemas,1,1,1,1,1,1,1,1,0,0
749,sistemas,1,1,0,1,0,1,1,0,0,0
750,contabilidad,1,0,0,0,0,0,0,1,0,0
751,marketing,1,1,0,1,1,1,1,0,0,1
753,ingenieria,1,0,0,1,1,1,0,1,1,1
754,contabilidad,1,1,0,1,0,1,0,1,0,0
755,administracion,1,1,1,0,1,0,0,1,0,0
756,contabilidad,1,0,0,0,0,0,0,1,0,0
757,ingenieria,1,0,0,1,0,1,1,1,1,0
758,psicologia,1,0,1,0,0,0,0,0,0,0
759,marketing,1,0,0,0,1,0,0,0,0,0
763,marketing,1,0,1,1,0,0,0,0,0,0
764,administracion,1,1,0,1,1,1,0,1,0,0
765,administracion,1,1,0,1,1,1,0,1,0,0
766,administracion,1,1,0,1,1,1,0,1,0,0
768,ingenieria,1,1,0,1,0,1,1,0,0,0
769,ventas,1,0,0,1,0,1,0,1,0,0
770,psicologia,1,1,0,0,0,0,0,0,0,0
772,administracion,1,0,0,0,0,0,0,0,0,0
773,psicologia,1,1,1,0,0,0,0,1,0,0
774,marketing,1,0,1,0,1,0,1,0,1,0
775,contabilidad,1,1,0,1,0,1,0,0,1,1
776,psicologia,1,1,1,0,1,0,1,0,0,0
777,psicologia,1,1,1,1,0,1,1,0,0,0
778,ingenieria,1,1,1,1,1,1,0,1,1,1
779,ingenieria,1,1,0,1,0,1,1,0,0,0
780,psicologia,1,0,1,0,0,0,1,1,0,0
781,ingenieria,1,0,0,1,1,1,0,1,0,1
782,ingenieria,1,0,0,1,1,1,0,1,0,1
783,administracion,1,1,1,1,0,1,1,0,0,0
784,sistemas,1,0,1,1,0,0,1,1,1,1
785,psicologia,1,1,1,0,0,0,0,1,0,0
786,marketing,1,0,1,0,0,0,0,0,0,0
788,ventas,1,1,1,1,1,1,1,0,0,0
789,ventas,1,1,1,0,0,1,1,0,0,1
790,contabilidad,1,0,1,0,0,0,1,0,0,0
791,psicologia,1,0,0,0,0,0,0,1,1,0
792,administracion,1,1,0,0,1,1,0,0,0,0
793,mantenimiento,1,0,1,0,1,0,0,0,0,0
794,administracion,1,1,0,1,1,1,0,1,0,0
795,ventas,1,1,1,0,0,0,1,1,0,0
796,contabilidad,1,1,0,0,0,1,0,0,0,0
798,mantenimiento,1,0,1,1,0,0,0,1,0,0
799,administracion,1,0,0,0,1,0,0,0,0,0
800,psicologia,1,1,1,0,1,0,1,0,0,0
801,contabilidad,1,1,0,1,0,1,1,1,0,0
802,ingenieria,1,1,1,0,1,1,1,0,0,1
803,comercial,1,0,0,1,0,0,1,1,0,1
804,comercial,1,0,0,1,0,0,1,1,0,1
805,comercial,1,0,0,1,0,0,1,1,0,1
806,comercial,1,1,0,1,1,1,0,1,0,1
807,sistemas,1,0,0,1,0,0,0,0,0,0
808,contabilidad,1,0,1,0,0,0,1,1,0,1
809,contabilidad,1,0,0,0,0,0,0,0,0,0
810,contabilidad,1,0,0,0,0,0,0,0,0,0
811,marketing,1,0,0,0,0,0,0,0,1,0
812,comercial,1,0,0,0,0,0,1,0,0,0
813,derecho,1,0,1,0,1,0,0,0,0,0
815,administracion,1,1,0,0,0,0,0,0,0,0
817,ingenieria,1,0,1,1,1,0,0,1,1,0
818,sistemas,1,1,0,0,1,0,1,0,0,0
820,administracion,1,1,0,0,1,0,0,1,0,0
821,finanzas,1,0,1,1,0,0,0,1,0,0
822,administracion,1,1,0,0,1,0,0,1,0,0
823,contabilidad,1,1,0,0,0,0,0,1,0,1
824,sistemas,1,0,1,1,1,0,0,0,0,0
825,ingenieria,1,0,1,1,1,1,0,0,0,0
826,psicologia,1,0,0,1,0,1,0,1,0,0
827,psicologia,1,0,0,1,0,1,0,1,0,0
828,comercial,1,0,1,1,0,1,0,1,0,0
829,comercial,1,0,1,1,0,1,0,1,0,0
830,comercial,1,0,1,1,0,1,0,1,0,0
831,administracion,1,1,0,1,1,1,1,0,0,0
832,administracion,1,1,0,1,1,1,1,0,0,0
833,administracion,1,1,0,1,1,1,1,0,0,0
834,marketing,1,0,0,0,1,0,0,1,0,1
835,marketing,1,0,0,0,1,0,0,1,0,1
836,marketing,1,0,0,0,1,0,0,1,0,1
837,ingenieria,1,1,1,0,1,1,1,0,0,0
838,finanzas,1,1,0,1,1,1,0,1,0,1
839,comercial,1,1,1,0,1,0,0,0,0,0
841,marketing,1,0,0,1,0,1,1,0,0,0
842,marketing,1,0,1,0,0,0,0,0,0,0
843,sistemas,1,0,1,0,0,0,0,0,0,0
844,marketing,1,1,1,1,0,1,1,0,0,0
845,psicologia,1,1,1,1,0,0,0,1,0,1
846,finanzas,1,1,1,1,1,1,0,1,1,1
847,administracion,1,1,1,1,0,1,0,1,0,0
848,ingenieria,1,0,0,0,1,0,0,0,0,0
849,administracion,1,0,0,0,0,0,0,1,0,0
850,ingenieria,1,1,1,1,1,0,0,1,0,0
851,ingenieria,1,1,0,1,0,1,0,1,0,0
852,contabilidad,1,0,0,0,1,1,0,1,0,0
853,ingenieria,1,0,1,1,1,0,1,1,0,0
854,finanzas,1,1,0,0,0,0,0,1,0,0
855,ingenieria,1,1,0,1,0,1,0,1,0,1
856,mantenimiento,1,0,0,1,0,1,1,0,0,0
858,ingenieria,1,0,0,1,0,1,0,0,0,0
859,comercial,1,0,0,0,0,1,1,0,0,0
861,economia,1,0,1,1,1,1,0,1,0,0
862,contabilidad,1,1,0,0,1,0,0,1,0,1
863,psicologia,1,0,0,0,1,0,0,1,0,0
864,ingenieria,1,0,0,1,1,1,1,0,1,1
865,ingenieria,1,1,0,1,0,0,0,1,0,0
866,marketing,1,0,0,0,0,0,0,1,0,0
867,comunicaciones,1,1,0,1,0,0,0,1,0,0
868,sistemas,1,1,1,0,1,1,0,1,0,1
869,ventas,1,1,0,0,1,0,0,0,0,0
870,comercial,1,0,0,1,1,1,0,1,0,0
871,finanzas,1,0,0,0,0,0,0,0,0,0
872,contabilidad,1,0,1,0,0,0,1,1,0,0
874,comercial,1,1,0,1,0,1,0,1,0,1
875,comercial,1,0,1,0,1,0,0,1,0,0
878,ingenieria,1,0,1,1,0,1,0,1,1,0
879,contabilidad,1,0,0,0,0,0,0,1,0,1
880,psicologia,1,1,0,1,0,1,0,0,0,0
881,ingenieria,1,1,1,1,0,1,0,1,0,0
882,contabilidad,1,0,1,0,0,0,0,1,0,1
883,sistemas,1,0,1,1,1,0,0,0,0,1
884,ingenieria,1,0,0,1,0,1,0,1,0,0
885,administracion,1,0,0,1,0,1,0,1,0,0
886,psicologia,1,1,0,0,0,0,0,0,0,0
887,ingenieria,1,0,1,1,0,1,0,0,0,1
888,ingenieria,1,0,1,1,0,1,0,0,0,0
889,administracion,1,1,1,0,1,0,0,1,0,0
890,marketing,1,0,0,0,0,0,0,0,0,0
891,sistemas,1,0,0,0,0,0,0,0,0,0
892,ventas,1,1,0,0,1,0,0,0,0,0
893,ingenieria,1,0,0,0,1,0,0,0,1,0
894,diseno,1,0,0,0,0,0,0,0,1,0
895,marketing,1,0,1,0,1,0,0,0,0,0
896,derecho,1,0,1,0,1,0,1,1,0,0
898,contabilidad,1,0,0,0,0,0,0,0,0,0
899,ingenieria,1,0,0,0,0,0,0,0,0,0
900,sistemas,1,0,0,0,0,0,0,0,1,1
902,derecho,1,0,0,0,0,0,0,0,0,0
903,marketing,1,1,1,0,0,0,1,0,0,0
904,medicina,1,0,0,0,1,0,0,0,0,0
905,contabilidad,1,0,0,0,1,0,1,0,0,0
907,contabilidad,1,0,0,0,0,0,0,0,0,0
909,ingenieria,1,1,0,1,1,0,0,1,0,0
911,contabilidad,1,0,0,0,0,0,0,1,0,0
912,administracion,1,0,0,0,0,0,0,1,0,0
913,derecho,1,0,0,0,1,0,0,0,0,0
914,ventas,1,0,0,0,0,0,0,0,0,0
915,administracion,1,0,1,1,0,1,0,1,0,0
916,contabilidad,1,0,0,0,1,0,0,0,0,0
918,sistemas,1,0,1,0,0,0,0,1,0,0
919,derecho,1,0,0,0,1,0,0,0,0,0
920,derecho,1,0,0,0,1,0,0,0,0,0
921,derecho,1,0,0,0,1,0,0,0,0,0
922,ingenieria,1,1,0,1,0,1,0,1,0,0
923,ingenieria,1,1,0,1,0,1,0,1,0,0
924,ingenieria,1,1,0,1,0,1,0,1,0,0
925,finanzas,1,0,0,1,0,1,0,0,0,0
926,comunicaciones,1,1,1,0,1,0,1,0,1,0
927,ingenieria,1,0,1,1,1,0,0,0,1,1
928,ingenieria,1,0,0,1,0,1,0,1,0,0
929,ingenieria,1,0,0,1,0,0,0,1,0,0
931,administracion,1,1,1,1,1,1,0,1,0,0
932,ingenieria,1,1,0,1,0,1,0,1,0,0
933,contabilidad,1,1,0,0,1,0,0,1,0,1
934,ingenieria,1,0,0,1,0,1,1,0,0,0
935,sistemas,1,0,0,0,0,0,0,0,0,0
936,finanzas,1,0,1,0,1,0,0,1,0,0
937,comercial,1,0,0,0,1,0,0,1,0,1
938,marketing,1,1,0,0,0,0,0,1,0,0
939,sistemas,1,0,1,1,1,1,1,0,0,1
940,sistemas,1,0,1,1,1,0,0,0,0,0
941,ingenieria,1,1,0,1,0,1,0,0,1,1
942,comunicaciones,1,1,0,0,1,0,1,0,0,0
943,sistemas,1,0,1,0,1,0,1,0,0,0
944,contabilidad,1,0,0,0,1,0,0,1,0,0
945,ingenieria,1,0,0,1,0,1,1,0,0,0
946,contabilidad,1,1,1,1,1,1,0,1,0,0
948,administracion,1,0,0,0,0,0,0,1,0,0
949,sistemas,1,0,0,1,1,0,1,0,0,1
950,sistemas,1,0,0,0,1,0,0,0,0,0
951,marketing,1,0,1,1,0,1,0,1,0,1
952,ventas,1,1,0,1,1,1,0,1,0,0
953,sistemas,1,0,0,0,1,1,0,1,0,0
954,marketing,1,0,0,0,0,0,0,0,1,0
955,ingenieria,1,0,0,1,0,0,0,0,0,0
956,ventas,1,1,1,0,0,0,0,0,0,0
957,marketing,1,0,0,0,0,0,1,1,0,0
958,derecho,1,0,0,0,1,0,1,0,0,0
959,sistemas,1,0,1,1,0,0,0,1,0,1
960,sistemas,1,0,1,1,0,0,0,1,0,1
961,contabilidad,1,1,0,1,1,1,0,1,0,0
962,sistemas,1,0,1,1,0,0,0,1,1,1
963,psicologia,1,0,0,0,1,0,1,0,0,0
964,comercial,1,0,0,0,1,0,0,1,0,1
965,marketing,1,0,1,0,0,0,0,1,1,0
966,mantenimiento,1,0,1,0,0,0,0,0,0,0
967,sistemas,1,0,1,1,0,0,0,1,1,1
971,sistemas,1,0,0,1,1,0,1,0,0,0
972,sistemas,1,0,0,1,1,0,1,0,0,0
973,sistemas,1,0,0,1,1,0,1,0,0,0
974,ingenieria,1,0,1,0,0,0,0,0,0,0
975,ingenieria,1,0,1,0,0,0,0,0,0,0
976,ingenieria,1,0,1,0,0,0,0,0,0,0
977,ingenieria,1,0,1,0,1,0,0,0,0,0
978,ingenieria,1,0,1,0,1,0,0,0,0,0
979,ingenieria,1,0,1,0,1,0,0,0,0,0
980,ingenieria,1,1,0,0,1,0,0,0,0,0
981,ingenieria,1,1,0,0,1,0,0,0,0,0
982,ingenieria,1,1,0,0,1,0,0,0,0,0
983,ingenieria,1,1,1,1,0,0,1,0,0,0
984,marketing,1,0,1,1,0,1,0,1,0,0
985,ingenieria,1,0,0,0,0,0,0,0,0,0
986,administracion,1,0,1,1,0,1,1,0,0,0
987,sistemas,1,1,0,0,0,0,1,0,0,1
988,ingenieria,1,1,0,1,0,1,1,0,1,0
989,ingenieria,1,0,0,1,0,0,0,1,0,0
990,ingenieria,1,1,0,1,1,1,0,1,0,1
991,comercial,1,1,0,1,1,1,0,1,0,0
992,sistemas,1,0,0,0,1,0,0,0,1,0
993,psicologia,1,0,1,0,0,0,0,0,0,0
994,contabilidad,1,0,1,0,1,0,0,1,0,0
995,diseno,1,0,0,0,0,0,0,0,1,0
997,marketing,1,0,0,0,1,0,1,0,0,0
998,comercial,1,0,0,1,1,1,1,0,0,1
999,contabilidad,1,0,0,1,1,1,1,0,0,1
1000,derecho,1,0,0,0,1,0,0,1,0,0
1001,sistemas,1,0,0,0,1,1,0,1,0,0
1002,psicologia,1,1,0,0,1,0,0,1,1,0
1003,sistemas,1,1,1,0,0,0,0,0,0,0
1004,diseno,1,0,0,0,0,0,0,1,1,0
1005,administracion,1,0,0,0,1,1,0,1,0,1
1006,administracion,1,1,1,1,0,1,0,1,0,1
1007,administracion,1,1,0,0,0,1,0,1,0,0
1008,administracion,1,0,0,0,0,0,0,1,0,0
1009,comercial,1,0,0,1,1,0,1,1,0,0
1010,diseno,1,0,1,0,0,0,0,0,1,0
1011,sistemas,1,0,0,0,1,0,0,0,0,1
1012,diseno,1,0,0,0,0,0,0,0,0,0
1013,sistemas,1,0,1,0,1,0,0,1,0,0
1014,administracion,1,1,1,0,0,0,1,1,0,0
1016,psicologia,1,0,0,1,0,1,0,1,0,0
1017,sistemas,1,0,1,0,0,0,1,0,0,0
1018,marketing,1,0,0,1,0,1,1,0,0,0
1019,administracion,1,0,1,1,1,1,0,1,0,1
1020,ingenieria,1,0,0,0,0,1,1,0,0,0
1021,administracion,1,0,1,1,0,0,0,1,0,0
1023,psicologia,1,0,0,0,1,0,0,0,0,0
1024,contabilidad,1,1,0,1,1,1,0,1,0,1
1025,psicologia,1,1,0,0,1,0,0,1,1,0
1026,finanzas,1,1,1,1,1,0,0,0,0,0
1027,ingenieria,1,1,0,1,0,1,1,1,0,0
1028,administracion,1,0,0,1,0,1,0,0,0,0
